数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2022,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2021,372.48,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2021,13398.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2021,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2021,3441.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2021,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2021,20673.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2021,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2021,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2021,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2021,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2021,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2021,5774.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2021,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2021,17172.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2020,365.08,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2020,13392.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2020,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2020,3378.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2020,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2020,20525.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2020,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2020,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2020,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2020,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2020,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2020,5412.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2020,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2020,17169.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2019,359.84,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2019,13163.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2019,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2019,3606.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2019,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2019,20414.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2019,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2019,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2019,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2019,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2019,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2019,5377.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2019,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2019,17241.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2018,347.98,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2018,13799.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2018,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2018,3102.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2018,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2018,18800.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2018,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2018,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2018,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2018,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2018,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2018,5400.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2018,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2018,17300.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2017,464.65,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2017,15500.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2017,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2017,1800.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2017,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2017,33200.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2017,14200.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2017,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2017,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2017,37000.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2017,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2017,5700.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2017,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2017,19700.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2016,470.0,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2016,15400.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2016,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2016,2200.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2016,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2016,32200.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2016,14500.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2016,63500.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2016,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2016,37200.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2016,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2016,5800.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2016,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2016,20100.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2015,546.92,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2015,15000.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2015,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2015,2800.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2015,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2015,31900.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2015,15200.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2015,63500.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2015,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2015,37900.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2015,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2015,5800.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2015,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2015,20300.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2014,552.33,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2014,15800.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2014,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2014,4600.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2014,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2014,30200.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2014,18000.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2014,63100.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2014,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2014,38100.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2014,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2014,5800.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2014,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2014,20800.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2013,554.18,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2013,15600.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2013,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2013,9200.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2013,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2013,24200.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2013,26600.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2013,63100.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2013,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2013,37600.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2013,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2013,5900.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2013,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2013,21600.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2012,568.13,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2012,15000.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2012,59.44,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2012,23100.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2012,25.11,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2012,21900.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2012,37700.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2012,65800.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2012,84.54,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2012,38300.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2012,29.98,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2012,5600.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2012,33.99,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2012,21400.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2011,583.87,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2011,14300.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2011,58.47,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2011,27800.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2011,29.1,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2011,20600.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2011,38200.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,天津,2011,68500.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,天津,2011,86.74,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,天津,2011,38600.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,天津,2011,30.44,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,天津,2011,4700.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,天津,2011,27.44,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,天津,2011,20700.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,天津,2010,587.79,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,天津,2010,13000.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,天津,2010,53.92,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,天津,2010,31200.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,天津,2010,32.59,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,天津,2010,19700.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,天津,2010,38700.0,部
