数据集名称,指标名称,地区,年份,数值,单位
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,江苏,2021,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,江苏,2020,105.7,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,江苏,2020,99.8,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,江苏,2020,104.3,无
农业生产资料价格分类指数,仔畜幼禽及产品畜 (上年=100) ,江苏,2020,159.6,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,江苏,2020,101.2,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,江苏,2020,100.3,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,江苏,2020,98.6,无
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2020,100.5,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2020,,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2020,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2020,85.9,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2020,98.9,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,江苏,2020,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,江苏,2020,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,江苏,2020,101.5,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,江苏,2019,104.2,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,江苏,2019,105.4,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,江苏,2019,102.1,无
农业生产资料价格分类指数,仔畜幼禽及产品畜 (上年=100) ,江苏,2019,134.2,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,江苏,2019,102.8,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,江苏,2019,101.5,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,江苏,2019,102.3,无
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2019,103.7,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2019,103.8,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2019,102.7,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2019,94.8,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2019,102.2,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,江苏,2019,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,江苏,2019,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,江苏,2019,103.1,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,江苏,2018,103.9,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,江苏,2018,106.8,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,江苏,2018,104.0,无
农业生产资料价格分类指数,仔畜幼禽及产品畜 (上年=100) ,江苏,2018,92.7,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,江苏,2018,100.5,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,江苏,2018,100.3,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,江苏,2018,109.3,无
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2018,105.2,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2018,,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2018,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2018,116.0,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2018,101.8,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,江苏,2018,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,江苏,2018,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,江苏,2018,102.3,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,江苏,2017,102.1,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,江苏,2017,105.5,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,江苏,2017,100.7,无
农业生产资料价格分类指数,仔畜幼禽及产品畜 (上年=100) ,江苏,2017,96.5,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,江苏,2017,99.8,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,江苏,2017,102.4,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,江苏,2017,104.5,无
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2017,101.4,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2017,,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2017,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2017,110.8,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2017,102.3,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,江苏,2017,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,江苏,2017,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,江苏,2017,102.8,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,江苏,2016,99.9,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,江苏,2016,100.1,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,江苏,2016,95.1,无
农业生产资料价格分类指数,仔畜幼禽及产品畜 (上年=100) ,江苏,2016,129.3,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,江苏,2016,100.5,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,江苏,2016,100.0,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,江苏,2016,96.0,无
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2016,100.4,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2016,100.3,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2016,101.1,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2016,94.6,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2016,100.9,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,江苏,2016,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,江苏,2016,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,江苏,2016,102.8,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,江苏,2015,99.6,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,江苏,2015,100.6,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,江苏,2015,97.0,无
农业生产资料价格分类指数,仔畜幼禽及产品畜 (上年=100) ,江苏,2015,107.2,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,江苏,2015,100.6,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,江苏,2015,98.8,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,江苏,2015,99.3,无
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2015,99.3,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2015,99.2,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2015,100.0,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2015,88.2,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2015,101.5,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,江苏,2015,102.1,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,江苏,2015,99.3,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,江苏,2015,101.7,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,江苏,2014,100.2,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,江苏,2014,101.8,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,江苏,2014,101.5,无
农业生产资料价格分类指数,仔畜幼禽及产品畜 (上年=100) ,江苏,2014,102.0,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,江苏,2014,100.5,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,江苏,2014,100.2,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,江苏,2014,93.6,无
农业生产资料价格分类指数,农药及农药械生产资料价格指数 (上年=100) ,江苏,2014,100.9,无
农业生产资料价格分类指数,化学农药生产资料价格指数 (上年=100) ,江苏,2014,100.9,无
农业生产资料价格分类指数,农药器械生产资料价格指数 (上年=100) ,江苏,2014,100.5,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,江苏,2014,98.6,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,江苏,2014,101.7,无
